400899747/December 5, 2016/Cleveland Cavaliers/Toronto Raptors
400899748/December 5, 2016/Washington Wizards/Brooklyn Nets
400899749/December 5, 2016/Oklahoma City Thunder/Atlanta Hawks
400899750/December 5, 2016/Portland Trail Blazers/Chicago Bulls
400899751/December 5, 2016/San Antonio Spurs/Milwaukee Bucks
400899752/December 5, 2016/Memphis Grizzlies/New Orleans Pelicans
400899753/December 5, 2016/Boston Celtics/Houston Rockets
400899754/December 5, 2016/Charlotte Hornets/Dallas Mavericks
400899755/December 5, 2016/Utah Jazz/Los Angeles Lakers
400899756/December 5, 2016/Indiana Pacers/Golden State Warriors
400899757/December 6, 2016/Orlando Magic/Washington Wizards
400899758/December 6, 2016/New York Knicks/Miami Heat
400899759/December 6, 2016/Chicago Bulls/Detroit Pistons
400899760/December 6, 2016/Philadelphia 76ers/Memphis Grizzlies
400899761/December 6, 2016/San Antonio Spurs/Minnesota Timberwolves
400899762/December 6, 2016/Phoenix Suns/Utah Jazz
400899763/December 7, 2016/Detroit Pistons/Charlotte Hornets
400899764/December 7, 2016/Boston Celtics/Orlando Magic
400899765/December 7, 2016/Denver Nuggets/Brooklyn Nets
400899766/December 7, 2016/Miami Heat/Atlanta Hawks
400899767/December 7, 2016/Portland Trail Blazers/Milwaukee Bucks
400899768/December 7, 2016/Los Angeles Lakers/Houston Rockets
400899769/December 7, 2016/Cleveland Cavaliers/New York Knicks
400899770/December 7, 2016/Sacramento Kings/Dallas Mavericks
400899771/December 7, 2016/Indiana Pacers/Phoenix Suns
400899772/December 7, 2016/Golden State Warriors/LA Clippers
400899773/December 8, 2016/Minnesota Timberwolves/Toronto Raptors
400899774/December 8, 2016/Denver Nuggets/Washington Wizards
400899775/December 8, 2016/Portland Trail Blazers/Memphis Grizzlies
400899776/December 8, 2016/Philadelphia 76ers/New Orleans Pelicans
400899777/December 8, 2016/Golden State Warriors/Utah Jazz
400899778/December 8, 2016/San Antonio Spurs/Chicago Bulls
400899779/December 9, 2016/Orlando Magic/Charlotte Hornets
400899780/December 9, 2016/Miami Heat/Cleveland Cavaliers
400899781/December 9, 2016/Toronto Raptors/Boston Celtics
400899782/December 9, 2016/Atlanta Hawks/Milwaukee Bucks
400899783/December 9, 2016/Houston Rockets/Oklahoma City Thunder
400899784/December 9, 2016/Detroit Pistons/Minnesota Timberwolves
400899785/December 9, 2016/Indiana Pacers/Dallas Mavericks
400899786/December 9, 2016/Phoenix Suns/Los Angeles Lakers
400899787/December 9, 2016/New York Knicks/Sacramento Kings
400899788/December 10, 2016/Milwaukee Bucks/Washington Wizards
400899789/December 10, 2016/Denver Nuggets/Orlando Magic
400899790/December 10, 2016/Portland Trail Blazers/Indiana Pacers
400899791/December 10, 2016/Charlotte Hornets/Cleveland Cavaliers
400899792/December 10, 2016/Miami Heat/Chicago Bulls
400899793/December 10, 2016/Golden State Warriors/Memphis Grizzlies
400899794/December 10, 2016/Dallas Mavericks/Houston Rockets
400899795/December 10, 2016/Brooklyn Nets/San Antonio Spurs
400899796/December 10, 2016/Sacramento Kings/Utah Jazz
400899797/December 10, 2016/New Orleans Pelicans/LA Clippers
400899798/December 11, 2016/Philadelphia 76ers/Detroit Pistons
400899799/December 11, 2016/Boston Celtics/Oklahoma City Thunder
400899800/December 11, 2016/Golden State Warriors/Minnesota Timberwolves
400899801/December 11, 2016/New Orleans Pelicans/Phoenix Suns
400899802/December 11, 2016/New York Knicks/Los Angeles Lakers
400899803/December 12, 2016/Charlotte Hornets/Indiana Pacers
400899804/December 12, 2016/Milwaukee Bucks/Toronto Raptors
400899805/December 12, 2016/Washington Wizards/Miami Heat
400899806/December 12, 2016/Brooklyn Nets/Houston Rockets
400899807/December 12, 2016/Denver Nuggets/Dallas Mavericks
400899808/December 12, 2016/Portland Trail Blazers/LA Clippers
400899809/December 12, 2016/Los Angeles Lakers/Sacramento Kings
400899810/December 13, 2016/Memphis Grizzlies/Cleveland Cavaliers
400899811/December 13, 2016/Orlando Magic/Atlanta Hawks
400899812/December 13, 2016/Minnesota Timberwolves/Chicago Bulls
400899813/December 13, 2016/Golden State Warriors/New Orleans Pelicans
400899814/December 13, 2016/New York Knicks/Phoenix Suns
400899815/December 13, 2016/Oklahoma City Thunder/Portland Trail Blazers
400899816/December 14, 2016/Toronto Raptors/Philadelphia 76ers
400899817/December 14, 2016/Charlotte Hornets/Washington Wizards
400899818/December 14, 2016/LA Clippers/Orlando Magic
400899819/December 14, 2016/Indiana Pacers/Miami Heat
400899820/December 14, 2016/Los Angeles Lakers/Brooklyn Nets
400899821/December 14, 2016/Cleveland Cavaliers/Memphis Grizzlies
400899822/December 14, 2016/Sacramento Kings/Houston Rockets
400899823/December 14, 2016/Detroit Pistons/Dallas Mavericks
400899824/December 14, 2016/Oklahoma City Thunder/Utah Jazz
400899825/December 14, 2016/Boston Celtics/San Antonio Spurs
400899826/December 15, 2016/Chicago Bulls/Milwaukee Bucks
400899827/December 15, 2016/Indiana Pacers/New Orleans Pelicans
400899828/December 15, 2016/Portland Trail Blazers/Denver Nuggets
400899829/December 15, 2016/San Antonio Spurs/Phoenix Suns
400899830/December 15, 2016/New York Knicks/Golden State Warriors
400899831/December 16, 2016/Detroit Pistons/Washington Wizards
400899832/December 16, 2016/Brooklyn Nets/Orlando Magic
400899833/December 16, 2016/Charlotte Hornets/Boston Celtics
400899834/December 16, 2016/Atlanta Hawks/Toronto Raptors
400899835/December 16, 2016/Milwaukee Bucks/Chicago Bulls
400899836/December 16, 2016/Sacramento Kings/Memphis Grizzlies
